,1,2,3,4,5,6,7,8,9,10,11,12,13,14
17LV1,2.05564784053156,1.19601328903654,0.710132890365445,0.598006644518273,0.934385382059797,1.60714285714285,2.16777408637873,2.01827242524916,4.03654485049833,1.71926910299003,6.12956810631228,7.5124584717608,0.224252491694352,0.26162790697674
17LV2,0.560631229235877,4.33554817275747,1.04651162790697,1.30813953488372,4.07392026578073,1.42026578073089,1.42026578073089,1.94352159468438,1.53239202657807,2.84053156146179,2.61627906976744,5.86794019933555,4.41029900332225,0.710132890365445
17LV3,2.15568862275449,0.672757475083057,4.37292358803987,3.17691029900332,4.03654485049833,1.04651162790697,5.41943521594685,1.42026578073089,1.23338870431893,1.3828903654485,2.09302325581395,2.765780730897,3.88704318936877,4.671926910299
18LV1,3.74017222014227,5.25645825533509,0.842381130662678,0.202171471359042,2.76301010857357,0.876076375889181,2.59453388244103,3.57169599400974,3.50430550355672,3.33582927742419,1.04455260202172,5.3575439910146,2.90803645401823,6.26346313173156
18LV2,5.99775365031824,5.15537251965556,0.876076375889181,0.438038187944594,0.808685885436167,0.438038187944594,3.67278172968925,0.438038187944594,4.14451516286035,1.71845750655185,5.79558217895919,6.70535380007488,11.1847555923778,8.57497928748964
18LV3,5.08798202920255,3.84125795582179,1.41520029951329,2.96518157993261,1.01085735679521,4.21190565331337,4.00973418195432,0.774990640209664,1.01085735679521,1.04455260202172,5.22276301010857,6.80643953575441,0.671085335542668,6.78541839270919
17DK1,5.72819168850618,2.49344814676151,3.67278172968925,3.30213403219768,2.459752901535,4.14451516286035,3.77386746536878,4.44777236989892,4.78472482216399,3.47061025833021,6.67165855484838,,,
17DK2,2.4260576563085,2.15649569449645,2.83040059902658,5.39123923624111,6.67165855484838,4.54885810557844,2.69561961812056,3.8749532010483,4.48146761512542,2.96518157993261,3.26843878697117,,,
17DK3,3.74017222014227,3.70647697491577,3.94234369150131,1.75215275177836,2.9314863347061,3.74017222014227,5.89666791463871,3.94234369150131,2.4260576563085,2.59453388244103,4.91950580307002,,,
18DK1,3.2062966031483,8.42584921292461,2.53521126760564,3.87738193869097,4.39933719966859,2.75890637945319,3.2062966031483,,0.149130074565037,,3.80281690140845,1.71499585749793,2.46064623032312,2.60977630488815
18DK2,6.78541839270919,5.2195526097763,4.92129246064623,3.80281690140845,1.41673570836786,8.50041425020712,8.50041425020712,,2.98260149130075,,4.17564208782105,7.90389395194697,3.05716652858327,8.27671913835957
18DK3,1.49130074565037,3.50455675227838,8.42584921292461,4.84672742336371,1.49130074565037,4.39933719966859,4.39933719966859,,0.671085335542668,,0.671085335542668,2.68434134217067,4.77216238608119,1.49130074565037