sample,label,feature1/17-1,feature2/DK-1,number
1,2.055647841,1,2,1
2,1.196013289,1,2,2
3,0.71013289,1,2,3
4,0.598006645,1,2,4
5,0.934385382,1,2,5
6,1.607142857,1,2,6
7,2.167774086,1,2,7
8,2.018272425,1,2,8
9,4.03654485,1,2,9
10,1.719269103,1,2,10
11,6.129568106,1,2,11
12,7.512458472,1,2,12
13,0.224252492,1,2,13
14,0.261627907,1,2,14
15,0.560631229,1,2,1
16,4.335548173,1,2,2
17,1.046511628,1,2,3
18,1.308139535,1,2,4
19,4.073920266,1,2,5
20,1.420265781,1,2,6
21,1.420265781,1,2,7
22,1.943521595,1,2,8
23,1.532392027,1,2,9
24,2.840531561,1,2,10
25,2.61627907,1,2,11
26,5.867940199,1,2,12
27,4.410299003,1,2,13
28,0.71013289,1,2,14
29,2.155688623,1,2,1
30,0.672757475,1,2,2
31,4.372923588,1,2,3
32,3.176910299,1,2,4
33,4.03654485,1,2,5
34,1.046511628,1,2,6
35,5.419435216,1,2,7
36,1.420265781,1,2,8
37,1.233388704,1,2,9
38,1.382890365,1,2,10
39,2.093023256,1,2,11
40,2.765780731,1,2,12
41,3.887043189,1,2,13
42,4.67192691,1,2,14
43,5.728191689,1,1,1
44,2.493448147,1,1,2
45,3.67278173,1,1,3
46,3.302134032,1,1,4
47,2.459752902,1,1,5
48,4.144515163,1,1,6
49,3.773867465,1,1,7
50,4.44777237,1,1,8
51,4.784724822,1,1,9
52,3.470610258,1,1,10
53,6.671658555,1,1,11
54,2.426057656,1,1,1
55,2.156495694,1,1,2
56,2.830400599,1,1,3
57,5.391239236,1,1,4
58,6.671658555,1,1,5
59,4.548858106,1,1,6
60,2.695619618,1,1,7
61,3.874953201,1,1,8
62,4.481467615,1,1,9
63,2.96518158,1,1,10
64,3.268438787,1,1,11
65,3.74017222,1,1,1
66,3.706476975,1,1,2
67,3.942343692,1,1,3
68,1.752152752,1,1,4
69,2.931486335,1,1,5
70,3.74017222,1,1,6
71,5.896667915,1,1,7
72,3.942343692,1,1,8
73,2.426057656,1,1,9
74,2.594533882,1,1,10
75,4.919505803,1,1,11
76,3.74017222,2,2,1
77,5.256458255,2,2,2
78,0.842381131,2,2,3
79,0.202171471,2,2,4
80,2.763010109,2,2,5
81,0.876076376,2,2,6
82,2.594533882,2,2,7
83,3.571695994,2,2,8
84,3.504305504,2,2,9
85,3.335829277,2,2,10
86,1.044552602,2,2,11
87,5.357543991,2,2,12
88,2.908036454,2,2,13
89,6.263463132,2,2,14
90,5.99775365,2,2,1
91,5.15537252,2,2,2
92,0.876076376,2,2,3
93,0.438038188,2,2,4
94,0.808685885,2,2,5
95,0.438038188,2,2,6
96,3.67278173,2,2,7
97,0.438038188,2,2,8
98,4.144515163,2,2,9
99,1.718457507,2,2,10
100,5.795582179,2,2,11
101,6.7053538,2,2,12
102,11.18475559,2,2,13
103,8.574979287,2,2,14
104,5.087982029,2,2,1
105,3.841257956,2,2,2
106,1.4152003,2,2,3
107,2.96518158,2,2,4
108,1.010857357,2,2,5
109,4.211905653,2,2,6
110,4.009734182,2,2,7
111,0.77499064,2,2,8
112,1.010857357,2,2,9
113,1.044552602,2,2,10
114,5.22276301,2,2,11
115,6.806439536,2,2,12
116,0.671085336,2,2,13
117,6.785418393,2,2,14
118,3.206296603,2,1,1
119,8.425849213,2,1,2
120,2.535211268,2,1,3
121,3.877381939,2,1,4
122,4.3993372,2,1,5
123,2.758906379,2,1,6
124,3.206296603,2,1,7
125,0.149130075,2,1,9
126,3.802816901,2,1,10
127,1.714995857,2,1,12
128,2.46064623,2,1,13
129,2.609776305,2,1,14
130,6.785418393,2,1,1
131,5.21955261,2,1,2
132,4.921292461,2,1,3
133,3.802816901,2,1,4
134,1.416735708,2,1,5
135,8.50041425,2,1,6
136,8.50041425,2,1,7
137,2.982601491,2,1,9
138,4.175642088,2,1,10
139,7.903893952,2,1,12
140,3.057166529,2,1,13
141,8.276719138,2,1,14
142,1.491300746,2,1,1
143,3.504556752,2,1,2
144,8.425849213,2,1,3
145,4.846727423,2,1,4
146,1.491300746,2,1,5
147,4.3993372,2,1,6
148,4.3993372,2,1,7
149,0.671085336,2,1,9
150,0.671085336,2,1,10
151,2.684341342,2,1,12
152,4.772162386,2,1,13
153,1.491300746,2,1,14