Line,Variety,Ethanol yield per line after 72h (kg),"Ethanol yield per line after 144h
(kg)",Ethanol yield per line after 72h (L),Ethanol yield per line after 144h (L),Ethanol yield per ha after 72h (kg),Ethanol yield per ha after 144h (kg),"Ethanol yield per ha after
72h (L)","Ethanol yield per ha after
144h(L)"
2,1,"0,2701","0,4815","0,3423","0,6102","540,2","962,9","684,6","1220,4"
10,1,"0,4447","0,7852","0,5636","0,9952","889,4","1570,4","1127,3","1990,4"
16,1,"0,2510","0,4423","0,3181","0,5605","502,0","884,5","636,3","1121,0"
22,1,"0,1495","0,2580","0,1895","0,3270","299,1","516,1","379,1","654,1"
5,2,"0,4073","0,6937","0,5162","0,8792","814,6","1387,4","1032,5","1758,5"
8,2,"0,2156","0,3643","0,2733","0,4618","431,2","728,6","546,6","923,5"
13,2,"0,2445","0,4351","0,3099","0,5515","489,0","870,2","619,8","1103,0"
19,2,"0,2133","0,3626","0,2703","0,4596","426,6","725,2","540,7","919,2"
4,3,"0,1996","0,3413","0,2530","0,4325","399,2","682,5","506,0","865,0"
7,3,"0,2631","0,4961","0,3335","0,6287","526,3","992,1","667,0","1257,4"
15,3,"0,3431","0,5699","0,4349","0,7224","686,3","1139,9","869,8","1444,7"
21,3,"0,2459","0,4720","0,3117","0,5982","491,8","944,0","623,4","1196,4"
1,4,"0,3718","0,6143","0,0005","0,7786","743,7","1228,7","942,6","1557,3"
12,4,"0,4570","0,7087","0,5792","0,8982","914,0","1417,3","1158,4","1796,4"
14,4,"0,3016","0,4880","0,3823","0,6185","603,3","975,9","764,6","1236,9"
23,4,"0,2657","0,4302","0,3368","0,5453","531,4","860,4","673,6","1090,5"
3,5,"0,4240","0,6584","0,5374","0,8344","848,1","1316,8","1074,9","1668,9"
9,5,"0,2905","0,4811","0,3682","0,6097","581,1","962,1","736,5","1219,4"
17,5,"0,4151","0,6855","0,5261","0,8689","830,2","1371,1","1052,2","1737,7"
20,5,"0,4714","0,7904","0,5975","1,0017","942,9","1580,7","1195,0","2003,4"
6,6,"0,2683","0,4514","0,3401","0,5722","536,6","902,9","680,1","1144,3"
11,6,"0,2756","0,4594","0,3493","0,5822","551,2","918,7","698,7","1164,4"
18,6,"0,4632","0,7610","0,5871","0,9645","926,4","1522,0","1174,2","1929,0"
24,6,"0,3291","0,5611","0,4171","0,7111","658,2","1122,2","834,2","1422,3"