1,2,3,4,5,6
142,152,110,158,137,160
168,170,141,135,109,152
142,128,145,165,154,172
148,144,157,162,92,158
152,142,137,190,113,140
150,125,110,100,143,129
143,162,125,153,162,135
158,152,134,189,118,125
76,145,133,122,117,160
130,128,63,138,132,152
151,154,146,137,143,165
138,167,147,127,141,175
145,142,152,134,182,87
144,139,115,148,153,159
165,127,144,125,172,110
208,121,146,142,135,139
150,141,140,180,148,152
192,137,142,150,159,83
162,152,140,110,100,101
172,154,150,125,145,155
190,199,132,152,177,168
191,162,152,139,163,109
171,152,135,109,121,149
152,129,110,140,142,160
182,119,105,160,141,142
159,142,139,158,165,142
176,203,151,120,153,161
167,94,155,159,152,91
145,132,154,171,159,101
181,126,144,173,176,99
156,131,135,154,117,138
141,90,162,178,119,115
167,117,132,168,166,143
130,120,152,160,169,125
149,118,171,171,143,106
135,132,157,145,152,160
160,124,157,191,151,122
120,69,159,173,149,180
170,139,137,192,146,140
165,121,210,154,133,103
169,129,170,163,189,158
119,113,152,172,127,158
162,113,144,172,152,121
124,127,130,179,149,141
134,138,125,144,159,162
148,135,134,163,145,135
151,162,140,170,161,121
152,173,125,161,191,130
132,135,121,152,150,119
138,137,132,162,143,119
149,119,150,167,139,145
145,123,153,162,137,153
118,155,149,113,162,120
159,145,130,164,137,179
139,69,146,172,143,142
152,145,150,161,183,139
167,135,125,,159,130
140,120,137,,,120
122,142,,,,110
118,162,,,,153
150,127,,,,153
137,145,,,,173
175,161,,,,110
132,125,,,,125
159,126,,,,139
129,109,,,,142
173,124,,,,165
152,120,,,,154
162,90,,,,142
168,121,,,,142
178,119,,,,142
160,140,,,,120
120,143,,,,151
165,137,,,,120
178,143,,,,140
176,135,,,,151
162,,,,,154
162,,,,,170
169,,,,,170
157,,,,,115
143,,,,,154
171,,,,,135
162,,,,,153
145,,,,,132
143,,,,,167
147,,,,,135
161,,,,,142
147,,,,,132
162,,,,,150
149,,,,,97
142,,,,,132
182,,,,,150
138,,,,,150
143,,,,,103
132,,,,,150
,,,,,161
,,,,,119
,,,,,132
,,,,,153
,,,,,153
,,,,,150
,,,,,137
,,,,,150
,,,,,121
,,,,,145
,,,,,139
,,,,,122
,,,,,132
,,,,,149
,,,,,153
,,,,,125
,,,,,143
,,,,,155
,,,,,145
,,,,,110
,,,,,165
,,,,,117
,,,,,111