Variety,Weight of 10 plants (kg),Weight of chopped tissues (kg),Dry weight (kg),Plant number,Panicle number,"Weight of panicles
(kg)","Average PHT
(cm)"
1,"2,726","2,051","0,5167",45,12,"0,664",142
1,"3,360","2,623","0,6254",44,16,"0,726",173
1,"3,341","2,447","0,5379",44,14,"0,830",163
1,"2,703","2,123","0,5278",22,15,"0,592",151
2,"2,671","1,878","0,5861",43,49,"0,764",147
2,"1,806","1,309","0,3874",38,59,"0,468",124
2,"1,702","1,141","0,3647",45,37,"0,532",142
2,"1,385","0,951","0,3434",41,41,"0,427",129
3,"1,243","0,863","0,2965",43,12,"0,391",129
3,"2,102","1,458","0,4380",39,60,"0,644",138
3,"2,368","1,623","0,5118",45,17,"0,724",156
3,"1,521","1,07","0,3740",42,17,"0,458",136
4,"3,789","2,904","0,6884",31,17,"0,899",147
4,"3,486","2,671","0,6725",39,20,"0,828",148
4,"3,02","2,213","0,5323",33,10,"0,732",169
4,"3,124","2,342","0,5965",28,13,"0,839",159
5,"2,351","1,777","0,4803",46,15,"0,552",129
5,"3,022","2,288","0,5098",37,14,"0,729",150
5,"3,307","2,378","0,6226",40,17,"0,877",149
5,"3,843","2,948","0,7844",35,19,"0,881",154
6,"2,302","1,700","0,4960",34,84,"0,567",138
6,"1,923","1,393","0,4125",42,76,"0,509",145
6,"2,471","1,824","0,5370",61,90,"0,547",140
6,"1,743","1,339","0,4360",49,93,"0,414",138