Var 1_24h,Var 2_24h,Var 3_24h,Var 4_24h,Var 5_24h,Var 6_24h,Var 1_48h,Var 2_48h,Var 3_48h,Var 4_48h,Var 5_48h,Var 6_48h,Var 1_72h,Var 2_72h,Var 3_72h,Var 4_72h,Var 5_72h,Var 6_72h,Var 1_144h,Var 2_144h,Var 3_144h,Var 4_144h,Var 5_144h,Var 6_144h
"0,25","0,26","0,28","0,4","0,43","0,35","0,37","0,37","0,41","0,5","0,53","0,46","0,46","0,43","0,48","0,59","0,63","0,55",,,,,,
"0,38","0,43","0,35","0,35","0,47","0,38","0,51","0,6","0,48","0,46","0,7","0,5","0,64","0,7","0,59","0,83","0,89","0,58",,"1,06","0,84","1,2",,"0,79"
"0,3","0,27","0,35","0,39","0,42","0,34","0,4","0,37","0,47","0,49","0,53","0,44","0,49","0,44","0,56","0,59","0,65","0,53","0,76","0,64","0,83",,"0,96",
"0,29","0,34","0,35","0,42","0,42","0,38","0,41","0,48","0,49","0,53","0,53","0,51","0,5","0,62","0,6","0,63","0,64","0,62","0,8",,"0,94","0,95",,"0,87"
"0,27","0,28","0,3","0,42","0,48","0,38","0,39","0,37","0,41","0,52","0,61","0,5","0,52","0,48","0,53","0,64","0,72","0,64","0,84","0,78","0,86","0,98","1,08","1,05"
"0,36","0,36","0,36","0,49","0,42","0,38","0,46","0,49","0,47","0,59","0,53","0,52","0,57","0,65","0,59","0,7","0,65","0,69","0,86","1,01","0,98","0,98","0,95","1,12"
"0,29","0,34","0,37","0,56","0,44","0,42","0,4","0,48","0,5","0,74","0,55","0,54","0,5","0,64","0,64","0,95","0,69","0,69","0,79","1,02","1,1","1,49","1,07","1,04"
"0,27","0,31","0,33","0,43","0,48","0,4","0,37","0,44","0,48","0,55","0,6","0,53","0,46","0,55","0,6","0,65","0,72","0,64","0,85","0,9","1,05","1,03","1,12","1,06"
"0,27","0,36","0,37","0,46","0,52","0,39","0,38","0,5","0,52","0,57","0,66","0,51","0,46","0,64","0,62","0,69","0,76","0,63","0,82","1,09","1,06","1,14","1,18","1,06"
"0,39","0,36","0,37","0,49","0,39","0,39","0,49","0,47","0,45","0,59","0,51","0,51","0,64","0,58","0,61","0,69","0,61","0,63","1,13","0,98","1,15","1,07","1,01","1,05"
"0,25","0,3","0,36","0,44","0,45","0,35","0,34","0,47","0,48","0,56","0,54","0,45","0,42","0,59","0,59","0,68","0,66","0,56","0,74","1,05","0,98","1,1","1,09","0,92"
"0,28","0,34","0,3","0,43","0,45","0,39","0,4","0,48","0,48","0,54","0,57","0,5","0,51","0,6","0,62","0,63","0,68","0,61","0,88","1,02","1,19","1,02","1,14","1,04"