,QT1-1,QT1-2,QT1-3,QT1-4,QT1-5,QT1-6,QT1-7,QT1-8,QT1-9,QT1-10,QT1-11,QT1-12,QT1-13,QT1-14,QT1-15,QT1-16,QT1-17,QT1-18,QT1-19,QT1-20,QT1-21,QT1-22,QT1-23,QT1-24,QT1-25,QT1-26,QT1-27,QT1-28,QT1-29,QT1-30,QT2-1,QT2-2,QT2-3,QT2-4,QT2-5,QT2-6,QT2-7,QT2-8,QT2-9,QT2-10,QT2-11,QT2-12,QT2-13,QT2-14,QT2-15,QT2-16,QT2-17,QT2-18,QT2-19,QT2-20,QT2-21,QT2-22,QT2-23,QT2-24,QT2-25,QT2-26,QT2-27,QT2-28,QT2-29,QT2-30,QT3-1,QT3-2,QT3-3,QT3-4,QT3-5,QT3-6,QT3-7,QT3-8,QT3-9,QT3-10,QT3-11,QT3-12,QT3-13,QT3-14,QT3-15,QT3-16,QT3-17,QT3-18,QT3-19,QT3-20,QT3-21,QT3-22,QT3-23,QT3-24,QT3-25,QT3-26,QT3-27,QT3-28,QT3-29,QT3-30
萼片数,5,5,5,5,5,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,6,6,5,5,4,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,
萼片颜色,绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,,,,,,,,,,,,,,,,,,,,,绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,,,,,,,,,,,,,,,,,,,,,绿,绿,绿,绿,绿,紫红,绿,绿,绿,绿,,,,,,,,,,,,,,,,,,,,
萼片茸毛,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,
完全开放花冠大小1,3.3,3.3,3.4,3.1,3.5,4,3.4,3.2,3.2,3.3,,,,,,,,,,,,,,,,,,,,,3.5,3.8,3.8,3.3,3.8,3.2,3.7,3.7,3.1,3.5,,,,,,,,,,,,,,,,,,,,,3.3,3.2,3.6,3.1,4.5,4.1,3.5,3.6,3,3.4,,0.336718444,,,,,,,,,,,,,,,,,,
完全开放花冠大小2,3.1,2.7,2.9,2.7,3.1,3.9,2.7,2.7,2.9,2.8,,,,,,,,,,,,,,,,,,,,,3,3,3.5,2.9,3,2.9,3.5,3.3,2.7,3.3,,,,,,,,,,,,,,,,,,,,,3.2,3.1,3.2,3,3.8,3.5,3.3,3.2,3,2.8,,,,,,,,,,,,,,,,,,,,
花瓣数,7,6,7,6,7,6,8,7,7,7,,,,,,,,,,,,,,,,,,,,,7,6,8,6,6,8,8,7,7,8,,,,,,,,,,,,,,,,,,,,,8,6,7,7,8,9,6,6,6,6,,,,,,,,,,,,,,,,,,,,
花瓣颜色,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,,,,,,,,,,,,,,,,,,,,,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,,,,,,,,,,,,,,,,,,,,,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,微绿,,,,,,,,,,,,,,,,,,,,
花瓣茸毛,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,
最大花瓣质地,中,中,中,中,中,厚,中,中,中,中,,,,,,,,,,,,,,,,,,,,,中,中,中,中,中,中,中,中,中,中,,,,,,,,,,,,,,,,,,,,,中,中,中,中,中,中,中,中,中,中,,,,,,,,,,,,,,,,,,,,
子房茸毛,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,
花柱长度,1.2,1,1,0.9,1.1,1.4,1,1.1,1,1,,,,,,,,,,,,,,,,,,,,,1.1,1.1,1,1,0.9,1.2,1.3,1.2,1,1.2,,,,,,,,,,,,,,,,,,,,,1,1.2,1.1,1.1,1.2,1.2,1.1,1,0.8,1.4,,,,,,,,,,,,,,,,,,,,
花柱头开裂数,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,4,3,3,3,3,,,,,,,,,,,,,,,,,,,,,3,2,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
柱头裂位,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,,,,,,,,,,,,,,,,,,,,,浅,中,浅,浅,中,浅,浅,中,中,中,,,,,,,,,,,,,,,,,,,,,浅,中,中,中,中,浅,浅,浅,深,浅,,,,,,,,,,,,,,,,,,,,
雌雄蕊相对高度,等高,等高,等高,等高,雌高,雌高,等高,雌高,等高,等高,,,,,,,,,,,,,,,,,,,,,雌高,等高,等高,雌高,等高,雌高,雌高,雌高,雌高,雌高,,,,,,,,,,,,,,,,,,,,,等高,雌高,雌高,雌高,雌高,雌高,等高,雌高,雌低,雌高,,,,,,,,,,,,,,,,,,,,
有无花香,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,
果实形状,四角,三角,肾,肾,肾,球,球,球,,,,,,,,,,,,,,,,,,,,,,,球,球,三角,三角,三角,肾,肾,肾,肾,肾,,,,,,,,,,,,,,,,,,,,,球,球,球,肾,肾,肾,肾,肾,三角,三角,,,,,,,,,,,,,,,,,,,,
果实大小1（mm）,3.4,2.1,2.6,2.5,2.2,2.1,2,2.4,,,,,,,,,,,,,,,,,,,,,,,1.6,1.5,1.6,1.6,1.5,1.5,1.6,1.6,1.5,1.5,,,,,,,,,,,,,,,,,,,,,2.1,2.1,1.8,2.8,2.8,2.9,2.7,2.5,2.5,2.6,,,,,,,,,,,,,,,,,,,,
果实大小2（mm）,2.9,1.7,1.7,1.8,1.4,1.8,1.5,1.9,,,,,,,,,,,,,,,,,,,,,,,1.5,1.5,1.3,1.4,1.3,1.4,1.5,1.5,1.3,1.6,,,,,,,,,,,,,,,,,,,,,1.8,1.6,1.7,1.6,1.9,1.8,1.7,1.7,2.3,2.5,,,,,,,,,,,,,,,,,,,,
种子形状,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,球,球,球,球,球,球,球,球,球,球,,,,,,,,,,,,,,,,,,,,,球,球,球,半球,球,球,球,球,球,球,,,,,,,,,,,,,,,,,,,,
种子大小1(mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.6,1.6,1.6,1.5,1.6,1.5,1.5,1.5,1.4,,,,,,,,,,,,,,,,,,,,
种子大小2(mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.4,1.4,1.5,1.5,1.4,1.4,1.4,1.5,1.4,,,,,,,,,,,,,,,,,,,,
百粒重（g）,104.5,107,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,105,,,,108,,,,,,,,,,,,,,,,,,,,,,,96,,,96.5,,,,103,,,,,,,,,,,,,,,,,,,,,,
种皮颜色,棕色,棕色,棕色,棕色,棕色,棕色,棕色,棕色,棕色,棕色,,,,,,,,,,,,,,,,,,,,,棕色,棕色,棕色,棕色,棕色,棕色,棕色,棕色,棕色,棕色,,,,,,,,,,,,,,,,,,,,,棕色,棕色,棕色,棕色,棕色,棕色,棕色,棕色,棕色,棕色,,,,,,,,,,,,,,,,,,,,
叶长cm,9.5,11.1,9.6,11.3,9.5,8.6,7.9,9.2,8.2,9.2,11.2,13,10.7,10.2,9.4,11,7.1,7.5,9.3,9.2,10.8,9.3,7.8,8.9,8.9,7.8,9.2,8.8,9.5,9.9,11.4,10,12.9,10.3,9.5,11.1,10,11.7,12.7,10.3,11.1,8.7,9.4,10.5,9.9,11.3,8.9,12.4,11,12.7,9.9,10.5,9.1,10.1,11.6,8.6,10,8.6,9,11.7,8.3,7.4,8.2,9.9,8.5,8.4,8.6,8.5,8.6,9,8.2,9,8.4,10.9,10.3,7.7,7.5,10.2,11.1,8.1,7.2,10.8,7.8,7.1,12.7,8.9,10.5,11.1,9.4,8.3
叶宽cm,4.2,5.4,4.2,3.4,3.1,2.8,2.8,3.3,2.7,3.1,3.3,4.4,3.4,3.8,3,3.7,2.6,3.1,3.5,3.5,3.6,3.4,3.3,3.3,3.4,3,3.4,3.3,3.4,3.4,4.8,5.7,5.7,4.3,3.5,4.4,4.6,3.8,5,4.2,3.9,3.7,3.3,3.6,3,3.4,3.4,3.7,4.3,3.9,3.9,4.5,3.7,3.9,4.2,3.3,4,3.1,3.4,4.2,2.5,2.4,2.5,2.9,2.7,2.8,2.9,2.7,3,3.5,2.8,3.2,3.8,3.9,3.1,2.9,2.8,3.4,4.1,3.4,2.7,3.9,3.2,2.8,4.1,3,3.4,3.5,3.4,3.5
叶面积（cm2）,27.93,41.958,28.224,26.894,20.615,16.856,15.484,21.252,15.498,19.964,25.872,40.04,25.466,27.132,19.74,28.49,12.922,16.275,22.785,22.54,27.216,22.134,18.018,20.559,21.182,16.38,21.896,20.328,22.61,23.562,38.3,39.9,51.5,31,23.3,34.2,32.2,31.1,44.5,30.3,30.3,22.5,21.7,26.5,20.8,26.9,21.2,32.1,33.1,34.7,27,33.1,23.6,27.6,34.1,19.9,28,18.7,21.4,34.4,14.5,12.4,14.4,20.1,16.1,16.5,17.5,16.1,18.1,22.1,16.1,20.2,22.3,29.8,22.4,15.6,14.7,24.3,31.9,19.3,13.6,29.5,17.5,13.9,36.4,18.7,25,27.2,22.4,20.3
叶片大小,中,大,中,中,中,小,小,中,小,中,中,大,中,中,小,中,小,小,中,中,中,中,小,中,中,小,中,中,中,中,中,中,大,中,中,中,中,中,大,中,中,中,中,中,中,中,中,中,中,中,中,中,中,中,中,小,中,小,中,中,小,小,小,中,小,小,小,小,小,中,小,中,中,中,中,小,小,中,中,小,小,中,小,小,中,小,中,中,中,中
叶脉对数,6,6,7,8,7,8,7,7,8,8,9,7,8,7,8,8,6,8,8,7,6,7,7,6,7,6,8,7,6,7,8,6,6,6,7,9,7,6,8,7,8,8,7,7,8,7,8,7,7,8,7,8,6,9,7,8,7,7,8,7,6,6,7,6,6,9,6,6,7,6,6,6,7,7,7,6,6,8,8,7,6,10,7,6,9,6,8,7,7,8
叶正面颜色,黄绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,黄绿,深绿,绿,黄绿,绿,黄绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,黄绿,绿,绿,黄绿,绿,黄绿,绿,黄绿,黄绿,绿,黄绿,黄绿,绿,绿,绿,黄绿,黄绿,黄绿,黄绿,黄绿,绿,绿,绿,黄绿,绿,绿,绿,绿,黄绿,绿,绿,绿,绿,绿,绿,黄绿,绿,绿,绿,绿,绿,绿,黄绿,绿,绿,绿,黄绿,黄绿,绿,黄绿,绿,绿,绿,绿,绿,黄绿,绿,绿,黄绿,绿
叶正面隆起性,隆起,稍隆起,隆起,稍隆起,平,平,稍隆起,平,稍隆起,隆起,隆起,稍隆起,隆起,强隆起,稍隆起,稍隆起,稍隆起,稍隆起,稍隆起,稍隆起,稍隆起,稍隆起,稍隆起,平,稍隆起,隆起,稍隆起,稍隆起,平,平,稍隆起,稍隆起,强隆起,平,稍隆起,稍隆起,隆起,稍隆起,稍隆起,稍隆起,稍隆起,隆起,稍隆起,隆起,稍隆起,隆起,隆起,稍隆起,平,稍隆起,稍隆起,隆起,稍隆起,平,稍隆起,平,强隆起,稍隆起,平,隆起,平,平,平,平,平,稍隆起,平,稍隆起,平,稍隆起,稍隆起,稍隆起,隆起,隆起,稍隆起,稍隆起,稍隆起,稍隆起,稍隆起,稍隆起,稍隆起,隆起,稍隆起,稍隆起,隆起,稍隆起,稍隆起,稍隆起,稍隆起,隆起
叶形,椭圆,椭圆,椭圆,披针形,披针形,披针形,披针形,披针形,披针形,披针形,披针形,披针形,披针形,长椭圆,披针形,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,椭圆,椭圆,椭圆,椭圆,长椭圆,长椭圆,椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,披针形,披针形,披针形,披针形,长椭圆,披针形,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,披针形,披针形,披针形,披针形,披针形,披针形,披针形,披针形,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,披针形,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,披针形,长椭圆,长椭圆,长椭圆,长椭圆
叶身形态,平,平,稍内折,稍内折,稍内折,平,稍内折,平,稍内折,稍内折,稍内折,稍内折,稍内折,稍内折,稍内折,平,平,平,平,平,平,稍内折,平,平,平,稍内折,稍内折,平,平,内折,平,平,平,平,平,平,平,平,平,平,平,平,平,稍内折,稍内折,稍内折,平,平,平,稍内折,平,平,平,平,稍内折,平,平,平,平,稍背卷,稍内折,内折,稍内折,稍内折,内折,稍内折,稍内折,平,稍内折,稍内折,内折,稍内折,内折,平,内折,稍内折,稍内折,平,平,平,平,平,稍内折,稍内折,平,稍内折,稍内折,稍内折,稍内折,平
叶片质地,柔软,中,中,中,中,中,中,中,中,中,中,柔软,中,硬,中,中,中,中,中,中,中,中,中,中,柔软,中,中,中,中,中,中,中,中,中,中,中,中,中,硬,中,中,中,中,中,中,中,中,中,柔软,中,中,中,中,柔软,中,中,硬,中,中,中,中,中,中,中,中,中,中,中,中,中,中,中,中,硬,中,中,中,中,中,中,中,中,中,中,硬,中,中,中,中,中
叶背茸毛,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
叶齿密度,稀,中,稀,稀,密,中,中,稀,稀,中,稀,中,密,密,稀,中,密,密,密,密,稀,稀,密,稀,中,稀,中,稀,稀,稀,稀,稀,稀,稀,稀,中,中,稀,稀,中,稀,稀,稀,密,中,中,密,稀,密,稀,稀,稀,稀,稀,稀,密,密,密,密,稀,密,中,稀,中,密,密,稀,稀,稀,稀,稀,稀,密,密,稀,密,稀,中,稀,密,稀,密,稀,密,中,密,稀,稀,稀,密
叶齿深度,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,中,浅,浅,浅,深,浅,浅,浅,中,浅,浅,浅,浅,浅,浅,浅,浅,浅,中,中,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,浅,中,中,浅,中,中,浅,浅,浅,浅,浅,浅,浅,中,浅,浅,浅,浅,浅,浅,浅,深,浅,浅,浅,中,浅,中,浅,中,浅,浅,浅,浅,浅,中,浅,中
叶基形态,近圆形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,近圆形,楔形,近圆形,楔形,楔形,近圆形,近圆形,楔形,楔形,楔形,楔形,近圆形,近圆形,楔形,近圆形,楔形,楔形,近圆形,楔形,楔形,近圆形,楔形,楔形,楔形,楔形,近圆形,楔形,楔形,楔形,近圆形,近圆形,楔形,楔形,楔形,楔形,楔形,楔形,近圆形,楔形,楔形,楔形,近圆形,楔形,楔形,楔形,楔形,楔形,近圆形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,近圆形,楔形,楔形,楔形,近圆形,楔形,楔形,近圆形,楔形,楔形,楔形,楔形,楔形,楔形,楔形
叶尖形态,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,圆尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,圆尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖
叶缘形态,微波,平,平,平,微波,平,平,平,平,平,平,微波,微波,微波,微波,微波,平,微波,平,微波,平,平,微波,平,平,平,平,微波,微波,波,平,平,微波,平,平,微波,微波,平,平,微波,微波,平,微波,平,波,波,平,平,波,平,平,微波,平,微波,波,波,平,平,微波,平,微波,微波,平,微波,波,波,平,平,平,平,微波,平,微波,微波,微波,微波,微波,微波,波,微波,平,微波,微波,微波,波,微波,波,微波,波,微波
着生状态,稍上斜,稍上斜,上斜,上斜,上斜,上斜,上斜,稍上斜,上斜,上斜,水平,水平,稍上斜,稍上斜,上斜,水平,稍上斜,上斜,水平,上斜,稍上斜,稍上斜,稍上斜,上斜,稍上斜,上斜,上斜,上斜,稍上斜,稍上斜,上斜,稍上斜,稍上斜,上斜,水平,稍上斜,稍上斜,稍上斜,上斜,上斜,上斜,上斜,稍上斜,稍上斜,稍上斜,水平,稍上斜,上斜,稍上斜,水平,稍上斜,上斜,水平,稍上斜,稍上斜,水平,稍上斜,上斜,稍上斜,水平,稍上斜,水平,稍上斜,稍上斜,上斜,上斜,稍上斜,稍上斜,稍上斜,上斜,稍上斜,稍上斜,稍上斜,上斜,上斜,水平,上斜,水平,稍上斜,稍上斜,稍上斜,水平,稍上斜,稍上斜,上斜,稍上斜,上斜,稍上斜,稍上斜,稍上斜
树型,小乔木,灌木,灌木,小乔木,小乔木,灌木,小乔木,灌木,灌木,灌木,灌木,灌木,灌木,小乔木,小乔木,小乔木,灌木,灌木,灌木,灌木,小乔木,小乔木,灌木,灌木,小乔木,灌木,小乔木,灌木,灌木,小乔木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,灌木,灌木,灌木,灌木,灌木,小乔木,灌木,灌木,灌木,小乔木,小乔木,灌木,灌木,灌木,灌木,灌木,小乔木,灌木,灌木,灌木,灌木,灌木,小乔木,灌木,灌木,灌木,灌木,小乔木,灌木,灌木
树姿,半开张,半开张,开张,半开张,直立,开张,半开张,半开张,半开张,半开张,半开张,半开张,半开张,直立,直立,直立,直立,开张,开张,开张,半开张,半开张,开张,半开张,直立,半开张,直立,开张,开张,直立,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,半开张,半开张,直立,半开张,半开张,半开张,开张,半开张,开张,半开张,直立,半开张,半开张,直立,半开张,直立,直立,半开张,直立,开张,半开张,半开张,直立,半开张,开张,半开张,直立,半开张,半开张,半开张
1芽2叶芽叶颜色,黄绿,黄绿,紫绿,绿,黄绿,黄绿,黄绿,黄绿,黄绿,紫绿,黄绿,绿,黄绿,黄绿,黄绿,黄绿,黄绿,绿,绿,紫绿,紫绿,绿,黄绿,绿,黄绿,黄绿,绿,黄绿,黄绿,黄绿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黄绿 ,黄绿,黄绿,黄绿 ,绿,黄绿,绿,紫绿,绿,绿,黄绿,绿,黄绿 ,绿,绿,黄绿 ,黄绿,黄绿,黄绿 ,绿,黄绿,黄绿 ,黄绿,绿,紫绿,黄绿,黄绿,黄绿 ,紫绿,黄绿
1芽2叶芽叶茸毛,少,中等,少,中等,少,少,中等,少,少,少,多,少,多,多,中等,多,中等,中等,少,多,多,多,少,多,多,中等,多,中等,中等,中等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中等,中等,中等,少,少,中等,少,多,中等,多,中等,少,少,少,少,中等,少,少,中等,少,少,中等,少,多,中等,多,多,少,多,中等
1芽2叶芽长（cm）,5.3,4.4,5.2,5,3.7,5.8,4.1,4.3,4.7,3.9,4.1,5.5,5.1,5.6,4.4,3.7,5.3,5.1,5.3,3.2,4,6,4.6,4.7,4.6,5.6,6.8,5.3,5.5,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.1,5.6,4.7,5,6.1,4,5.2,5.5,4.3,4.1,4.8,4.1,4.5,5.4,4.7,5.1,4.9,4.9,5.1,4.9,3.6,4.8,5.1,4.4,4.2,5.1,5.1,4.6,3.8
1芽2叶百芽重(g),20.5,20.7,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,19.8,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1芽3叶芽长(cm),7.1,7.4,7.5,8.1,5.9,6.5,6.6,6.6,7.4,5.9,6.1,7,8.2,6.6,7.3,6.6,4.3,5.2,5.4,6.1,5,7.8,4.9,5,5.6,5,7.7,6.9,6.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,7.5,5.5,5.7,5.3,7.3,6.7,6.1,6.8,7.4,5.9,4.5,5.8,6.4,4.4,4.9,5,4.9,6.1,5.9,3.6,5,4.5,5.3,5,8,5.7,5,5.9,3.8
1芽3叶百芽重（g）,34.8,37.8,36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,25.5,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
