,YSA-1,YSA-2,YSA-3,YSA-4,YSA-5,YSA-6,YSA-7,YSA-8,YSA-9,YSA-10,YSA-11,YSA-12,YSA-13,YSA-14,YSA-15,YSA-16,YSA-17,YSA-18,YSA-19,YSA-20,YSA-21,YSA-22,YSA-23,YSA-24,YSA-25,YSA-26,YSA-27,YSA-28,YSA-29,YSA-30,GYD-1,GYD-2,GYD-3,GYD-4,GYD-5,GYD-6,GYD-7,GYD-8,GYD-9,GYD-10,GYD-11,GYD-12,GYD-13,GYD-14,GYD-15,GYD-16,GYD-17,GYD-18,GYD-19,GYD-20,GYD-21,GYD-22,GYD-23,GYD-24,GYD-25,GYD-26,GYD-27,GYD-28,GYD-29,GYD-30
萼片数,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,5,4,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,
萼片颜色,绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,,,,,,,,,,,,,,,,,,,,,绿,绿,绿,绿,绿,绿,绿,绿,绿,绿,,,,,,,,,,,,,,,,,,,,
萼片茸毛,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,
完全开放花冠大小1,4.4,5.5,3.8,3.7,3.8,3.8,4.1,4,4,4.1,,,,,,,,,,,,,,,,,,,,,7.2,4.1,3.6,3.8,3.7,4,4.1,3.8,3.7,3.6,,,,,,,,,,,,,,,,,,,,
完全开放花冠大小2,3.8,3.7,3.8,3.3,3.6,3.5,3.5,3.3,3.1,3.6,,,,,,,,,,,,,,,,,,,,,3.5,4,3.4,3.6,3.5,3.8,3.2,3.6,3.6,3.4,,,,,,,,,,,,,,,,,,,,
花瓣数,8,8,7,7,6,12,7,11,6,8,,,,,,,,,,,,,,,,,,,,,6,7,9,7,8,7,7,6,8,9,,,,,,,,,,,,,,,,,,,,
花瓣颜色,白,白,白,白,白,白,白,白,白,白,,,,,,,,,,,,,,,,,,,,,白,白,白,白,白,白,白,白,白,白,,,,,,,,,,,,,,,,,,,,
花瓣茸毛,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,,无,无,无,无,无,无,无,无,无,无,,,,,,,,,,,,,,,,,,,,
最大花瓣质地,中,中,中,薄,中,中,中,中,中,厚,,,,,,,,,,,,,,,,,,,,,厚,中,中,中,中,薄,中,中,薄,薄,,,,,,,,,,,,,,,,,,,,
子房茸毛,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,,有,有,有,有,有,有,有,有,有,有,,,,,,,,,,,,,,,,,,,,
花柱长度,1.3,1.1,1.3,0.9,1.1,1.2,1.2,1,1.3,1.3,,,,,,,,,,,,,,,,,,,,,1.2,1.3,1.2,1.2,1.2,1.3,1.2,1.3,1.2,1.3,,,,,,,,,,,,,,,,,,,,
花柱头开裂数,2,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
柱头裂位,中,浅,浅,深,浅,中,中,浅,浅,浅,,,,,,,,,,,,,,,,,,,,,中,深,中,深,浅,中,中,中,中,深,,,,,,,,,,,,,,,,,,,,
雌雄蕊相对高度,等高,等高,雌高,雌低,等高,等高,雌低,等高,雌高,雌高,,,,,,,,,,,,,,,,,,,,,等高,等高,雌高,等高,雌高,雌高,等高,等高,等高,雌高,,,,,,,,,,,,,,,,,,,,
叶长cm,9,10.5,10.5,8.7,9.1,12.4,7.7,8.6,7.5,11.5,8.6,9.5,12.9,7.6,7.7,8.3,9.6,9.1,8.2,9.3,9.1,8.4,8.6,8.8,9.1,7.6,8.5,9.5,9.7,8.1,9.2,9.6,8.7,8,9,7.8,11.3,9.2,10,8.5,13.1,9,13.1,9.6,9,10.4,8.2,12.3,9.1,7.5,9.6,9.4,11.1,8.7,8.6,12.3,9,11.4,10,11
叶宽cm,4.7,4.5,4.4,3.9,4.6,4.1,4.4,4.1,3.8,4.8,4.1,4.4,5.4,2.9,3.7,3.5,3.4,4.1,4.1,4,3.2,4.1,3.3,3.4,3.9,3.2,3.3,4.5,4.1,4.6,3.4,4.2,4.4,3.9,3.5,3,3.7,3.8,4.1,3.3,4.6,4,4.8,4.5,4.1,4.4,3.6,4.4,3.2,3.4,3.9,3.4,4.1,3.1,3.4,5,3.3,4.5,4.1,3.7
叶脉对数,5,7,6,6,6,8,5,6,7,8,6,8,9,7,6,6,8,6,7,9,8,6,6,6,9,6,7,7,7,7,7,7,6,5,7,7,8,7,6,7,9,8,9,8,6,8,6,8,7,6,8,6,7,7,6,9,7,7,8,9
叶正面颜色,深绿,深绿,绿,绿,绿,绿,深绿,绿,绿,绿,深绿,绿,深绿,淡绿,深绿,深绿,淡绿,深绿,绿,绿,深绿,深绿,绿,淡绿,深绿,深绿,绿,深绿,绿,深绿,绿,绿,淡绿,绿,绿,淡绿,深绿,深绿,绿,绿,绿,绿,深绿,绿,绿,深绿,深绿,绿,绿,绿,深绿,深绿,深绿,绿,淡绿,深绿,淡绿,绿,绿,深绿
叶正面隆起性,隆起,稍隆起,稍隆起,稍隆起,隆起,平,隆起,稍隆起,稍隆起,稍隆起,隆起,稍隆起,稍隆起,稍隆起,稍隆起,隆起,稍隆起,隆起,隆起,稍隆起,稍隆起,稍隆起,稍隆起,平,平,隆起,隆起,稍隆起,稍隆起,稍隆起,稍隆起,稍隆起,稍隆起,平,平,平,强隆起,隆起,隆起,平,隆起,稍隆起,隆起,隆起,稍隆起,稍隆起,隆起,稍隆起,稍隆起,平,稍隆起,稍隆起,隆起,稍隆起,平,隆起,稍隆起,隆起,稍隆起,隆起
叶形,椭圆,长椭圆,长椭圆,长椭圆,椭圆,披针形,椭圆,椭圆,椭圆,长椭圆,椭圆,椭圆,长椭圆,长椭圆,长椭圆,长椭圆,椭圆,椭圆,椭圆,椭圆,长椭圆,椭圆,长椭圆,长椭圆,椭圆,长椭圆,长椭圆,椭圆,长椭圆,椭圆,长椭圆,椭圆,椭圆,椭圆,长椭圆,长椭圆,长椭圆,椭圆,椭圆,长椭圆,长椭圆,椭圆,长椭圆,椭圆,长椭圆,长椭圆,椭圆,长椭圆,长椭圆,椭圆,长椭圆,长椭圆,长椭圆,长椭圆,长椭圆,椭圆,长椭圆,椭圆,长椭圆,长椭圆
叶身形态,平,平,平,平,平,平,平,平,平,平,平,稍内折,稍内折,稍内折,平,稍内折,稍内折,稍内折,平,稍内折,稍内折,平,平,平,平,平,稍内折,平,稍内折,平,平,平,平,平,平,平,稍背卷,平,平,平,稍背卷,平,平,平,稍背卷,稍背卷,平,平,平,平,平,稍内折,稍背卷,平,平,平,平,平,稍内折,稍背卷
叶片质地,中,中,中,中,中,柔软,中,中,中,柔软,中,中,柔软,中,柔软,中,中,中,中,中,中,中,中,中,柔软,硬,中,中,中,中,中,中,柔软,柔软,柔软,中,中,中,柔软,中,中,中,硬,中,中,中,硬,柔软,中,中,中,柔软,柔软,柔软,柔软,中,中,柔软,硬,中
叶背茸毛,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无
叶基形态,近圆形,楔形,楔形,近圆形,近圆形,楔形,近圆形,近圆形,近圆形,楔形,楔形,近圆形,楔形,楔形,近圆形,近圆形,楔形,楔形,近圆形,楔形,近圆形,近圆形,楔形,楔形,近圆形,楔形,楔形,近圆形,楔形,近圆形,楔形,楔形,楔形,近圆形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形,楔形
叶尖形态,钝尖,渐尖,渐尖,渐尖,钝尖,渐尖,圆尖,渐尖,钝尖,渐尖,钝尖,渐尖,钝尖,渐尖,钝尖,钝尖,渐尖,渐尖,钝尖,渐尖,渐尖,钝尖,渐尖,渐尖,钝尖,渐尖,钝尖,钝尖,渐尖,钝尖,渐尖,渐尖,钝尖,钝尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖,渐尖
叶缘形态,微波,微波,微波,平,平,平,平,平,微波,微波,平,微波,微波,微波,平,平,微波,微波,微波,微波,平,平,平,平,平,平,平,平,微波,波,微波,微波,平,平,微波,微波,平,波,波,波,微波,微波,微波,平,平,微波,微波,微波,平,微波,微波,微波,平,微波,平,微波,微波,微波,平,微波
着生状态,稍上斜,稍上斜,稍上斜,水平,稍上斜,水平,稍上斜,稍上斜,稍上斜,水平,上斜,上斜,稍上斜,上斜,上斜,上斜,稍上斜,上斜,上斜,上斜,上斜,上斜,上斜,稍上斜,水平,上斜,上斜,上斜,上斜,稍上斜,上斜,上斜,稍上斜,上斜,稍上斜,上斜,稍上斜,稍上斜,水平,稍上斜,稍上斜,稍上斜,上斜,稍上斜,稍上斜,稍上斜,上斜,上斜,上斜,上斜,上斜,上斜,上斜,水平,稍上斜,稍上斜,稍上斜,水平,上斜,上斜
